age,typeof_contact,city_tier,duration_of_pitch,occupation,gender,number_of_person_visiting,number_of_followups,product_pitched,preferred_property_star,number_of_trips,passport,pitch_satisfaction_score,designation,monthly_income,prod_taken,marital_status,car_ownership,children
50.0,Self Enquiry,2,900.0,Large Business,male,1.0,4.0,basic,3.0,5.0,1,4,executive,253905.0,1,Unmarried,Car Ownership,No Children
56.0,Company Invited,1,840.0,Salaried,male,1.0,4.0,standard,3.0,2.0,1,4,senior manager,404475.0,0,Divorced,Car Ownership,No Children
,Self Enquiry,1,600.0,Large Business,female,1.0,3.0,basic,3.0,4.0,0,4,executive,278145.0,1,Married,Car Ownership,No Children
100.0,Self Enquiry,2,1080.0,Small Business,female,1.0,3.0,standard,4.0,1.0,0,5,senior manager,326805.0,0,Divorced,Car Ownership,No Children
48.0,Company Invited,3,1020.0,Small Business,female,1.0,3.0,basic,4.0,4.0,0,4,executive,258435.0,1,Single,Car Ownership,No Children
19.0,Self Enquiry,2,960.0,Small Business,male,1.0,3.0,basic,3.0,2.0,0,4,executive,260000.0,0,Single,Car Ownership,No Children
47.0,Company Invited,3,840.0,Small Business,male,1.0,3.0,super deluxe,4.0,1.0,0,4,avp,453180.0,0,Single,Car Ownership,No Children
49.0,Self Enquiry,2,1320.0,Small Business,male,1.0,3.0,basic,3.0,2.0,0,4,executive,261900.0,0,Married,Car Ownership,No Children
33.0,Company Invited,2,1200.0,Large Business,female,1.0,3.0,basic,3.0,4.0,0,4,executive,247800.0,1,Single,Car Ownership,No Children
31.0,Company Invited,1,660.0,Large Business,male,1.0,3.0,basic,3.0,2.0,0,3,senior manager,257610.0,0,Married,Car Ownership,No Children
51.0,Company Invited,1,840.0,Small Business,female,1.0,3.0,standard,3.0,4.0,0,3,senior manager,351900.0,0,Unmarried,Car Ownership,No Children
46.0,Self Enquiry,1,960.0,Small Business,male,1.0,3.0,super deluxe,4.0,6.0,0,3,avp,416430.0,0,Divorced,Car Ownership,No Children
49.0,Company Invited,1,1920.0,Small Business,female,1.0,3.0,super deluxe,3.0,4.0,0,3,avp,477555.0,0,Single,Car Ownership,No Children
51.0,Self Enquiry,2,1020.0,Small Business,female,1.0,3.0,super deluxe,4.0,5.0,0,4,avp,440000.0,0,Married,Car Ownership,No Children
53.0,Company Invited,2,840.0,Small Business,female,1.0,3.0,basic,3.0,1.0,0,3,executive,300000.0,1,Single,Car Ownership,No Children
20.0,Self Enquiry,1,1440.0,Small Business,female,1.0,3.0,basic,3.0,2.0,0,4,executive,253665.0,1,Single,Car Ownership,No Children
25.0,Company Invited,2,1380.0,Small Business,male,1.0,3.0,basic,3.0,1.0,0,3,executive,258600.0,1,Single,Car Ownership,No Children
80.0,Self Enquiry,2,2100.0,Small Business,male,1.0,3.0,super deluxe,3.0,4.0,0,3,avp,500000.0,1,Unmarried,Car Ownership,No Children
20.0,Company Invited,2,420.0,Small Business,female,1.0,3.0,standard,3.0,1.0,1,3,senior manager,400000.0,0,Married,Car Ownership,No Children
44.0,Company Invited,2,300.0,Small Business,male,1.0,3.0,super deluxe,3.0,1.0,1,4,avp,286245.0,0,Married,Car Ownership,No Children
30.0,Self Enquiry,1,480.0,Salaried,female,1.0,3.0,standard,3.0,2.0,0,3,senior manager,455250.0,0,Unmarried,Car Ownership,No Children
34.0,Company Invited,2,960.0,Salaried,female,1.0,3.0,basic,3.0,2.0,0,4,executive,263715.0,0,Divorced,Car Ownership,No Children
29.0,Company Invited,1,480.0,Salaried,female,1.0,3.0,basic,3.0,1.0,0,3,executive,262725.0,1,Divorced,Car Ownership,No Children
